"","l.wt","l.wt.1","l.wt.2","l.wt.3","l.LCAD","l.LCAD.1","l.LCAD.2","l.LCAD.3"
"Fam187a",4.62903551912486,4.56805424376646,4.56507965022981,4.44750117518402,4.59234903292516,4.57792527141294,4.80082417908676,4.5190496210563
"Cd46",5.70396850363945,5.83695268849778,5.71814965907389,5.71283909779249,5.64176131907389,5.74415633143899,5.50626701644863,5.82638120123363
"Klk1b27",4.54947283503207,4.40233942175193,4.44540452374457,4.57654475165548,4.39061837062718,4.43784719760682,4.32934852434157,4.50613411002615
"Tnfsf14",4.54315128438243,4.56980953247146,4.54216133023075,4.46648020039961,4.67686018064064,4.69629715349072,4.58997463343796,4.63525766119772
"Krt31",6.07813180300505,6.38914103000591,6.42322057897151,6.17500016158165,6.31011486371876,5.99862477196575,6.03842356065323,6.15244963988451
"Mrgprh",4.10997395051746,4.26774881581497,4.2291278942317,4.26596550731864,4.34809691230547,3.88211830199526,4.37580437834336,4.16371817913461
"Cylc1",3.89562893600674,3.68940115211494,3.78127042105381,3.81604002890422,3.78409488215011,3.80169227176677,4.15188884550794,3.79061035105572
"Sytl2",5.26357884532905,5.0956482988676,5.17276047523867,5.05658092735133,4.90602832769339,4.82760473801084,5.078683948518,4.84601875824011
"Fam184b",3.94165947279816,4.30297802121471,4.0938080969426,4.24807838108368,4.03740120008342,4.02781021170568,3.976738467767,3.95283152708183
"Ifi44l",3.80701591793983,3.90776543737796,4.00243927696953,4.48538386770956,3.79388165003726,3.91898335320941,3.78289675490696,4.13273516852907
"Msx3",6.42668240478379,6.29378227189628,6.27514546059333,6.14955518765849,6.13029522759228,6.36776925463626,6.3761586501238,6.25580925561474
"Hs6st3",5.13918160674399,5.2265972697792,4.86365503606183,5.11068913267627,5.21833042951161,5.16710659042594,5.19666054619109,5.15137814942844
"Gsx2",4.8443355836655,4.94868900430576,4.8638172629142,5.01076686159929,4.88194745378342,4.90219883261341,4.68043182349373,4.6045674613761
"Shbg",5.29316136361756,5.71796419317726,5.41658305984983,5.70549728257965,5.42418191267979,5.4685047942049,5.53590871680919,5.34888225769397
"Ceacam2",6.68046136135354,6.78424261473466,6.78795047434959,6.64739517674223,6.51178449547421,6.3880862746644,6.80048941743369,6.68671369413819
"Sult4a1",4.45306112548422,4.24870066670991,3.99245502741808,4.45792964729989,4.26516343921596,4.52392383894386,4.23791784791802,4.15665387103955
"Vgll1",5.05343060604412,5.07493407951263,4.71488620677986,4.78240678252688,4.69411703368989,4.69892981379329,4.82770629696349,4.780676816171
"Il20",5.88002065989252,5.9627795442114,5.93623251417812,5.93532372259573,5.84346534514733,5.78627015048236,5.84836487209474,5.98484371344192
"Cml3",5.52434779125288,5.36538784976485,5.56819433801947,5.20403481193887,6.41913804975793,6.18986843195251,6.22362140880567,6.06436920520453
"Cx3cl1",5.5569393269138,5.5898037078394,5.53678379456053,5.59809421805469,5.53395200125908,5.55138427202276,5.57755020056507,4.34304717453235
"AB041806",4.87814383094881,4.95040318344948,4.83083298636424,4.81120348032804,4.69300514236075,4.86460395798006,4.7073950264392,4.66944357837613
"H2afy2",4.86108774989418,4.81376939312935,4.8302564905756,4.73163032084529,4.73697854229609,4.75598481537634,4.64938932332192,4.69065186359317
"H2afy3",4.00592819051034,4.14852669303424,4.0115692119042,3.73070369391682,3.78824067181835,3.82646006707741,3.82606803433824,3.82408615360683
"Zan",5.55148414878856,5.72166778566199,5.76307202842801,5.5003138501448,5.40429871718253,5.32876585688011,5.35496857074185,5.16593179092585
"Myo15",5.79894738274391,5.8959489260865,5.94673586559107,5.97571707366887,5.73326446767611,5.76309248367075,5.72812840542658,5.88838819265923
"Grin2a",4.16388753128623,4.20507716269837,4.19178008079866,3.94227004751831,3.89475656264376,4.26288081074835,4.20226004308253,4.10639045054379
"Trpm8",3.87474754758411,3.83117507357964,3.70420722014474,3.77240626999114,3.72864118649387,3.85156726288027,3.7646343722706,3.65215673114591
"Myo1f",6.03375533376366,5.66888475740509,6.08820436563113,5.87706045166648,5.81971834999428,5.69330880502551,5.92973618562563,5.77312997344188
"Kcnh3",8.04281809816105,7.9785075238429,8.1027564840395,7.9769039150471,7.93948647924572,8.09822551749516,7.92634919410658,7.84545523766575
"Il5ra",4.00466165281988,3.9338690778575,4.07546237722501,3.90030594333118,3.82561520031888,3.73199203213841,3.69156297386689,3.85021834838727
"Rasgrf2",5.48722598217109,5.5171442066699,5.84494548761792,5.31771664214459,5.59198423423578,5.2853093655011,5.71272419769969,5.36471939061381
"Il12rb2",4.86629195726299,4.88876199772464,4.61696821929434,4.87852049562638,4.84461448340932,4.60367013697718,4.92860558868151,4.96493914878643
"Evx1",4.91315797575424,5.19086983758008,5.16675902237396,4.88086891119274,4.91818665737025,4.93505998103254,5.08285477779635,4.99615098951676
"Il18r1",4.29474115836235,4.00110287937275,4.22498611512875,4.19086079267824,4.41008380648359,4.06647009779069,4.26891902835599,4.45159437262644
"Gabre",4.46398164738395,4.58862110094448,4.624722535331,4.61099338975273,4.60202595761197,4.3687494947725,4.55783561815529,4.45488364053552
"Zfy1",4.09445182446615,4.05633485012165,4.26831966661183,3.89199007585382,4.03287551053425,3.94653058108138,3.9762867327213,4.1123847901987
"Pcdhb1",4.84045265910274,4.6128211510585,4.83844754212221,4.70819479717995,4.48965082546808,4.35660268051339,4.74780607495508,4.64412779482893
"Kcnn3",5.31202652060106,5.20274156673558,5.34329321943312,5.24899956896143,5.33511876300621,5.20410498552795,5.27499531065105,5.29703473695391
"Cnnm4",6.05198955268785,6.22523790556966,6.15377473927268,5.94797607386609,6.0839095665813,6.01121036796386,6.13258272365548,6.10308130462693
"Tbc1d8b",3.83951714018735,3.80933901462747,3.94059752095778,3.89104125624203,3.86549445335809,3.92576742972873,3.63844379177175,3.78813264111066
"Slc5a4a",4.20815185772723,4.4112272512727,4.42997455152877,4.19099997519571,4.11646265766325,4.20815185772723,4.15186303702586,4.09062532436501
"Psg17",4.22301393443144,3.91370391164854,4.36029537110854,3.99842362594066,3.8995137345962,4.12360089630763,4.04006917596997,3.99237136313132
"1700082M22Rik",4.21258451274798,4.35509592608368,4.54755976690524,4.2357014831706,4.15962313152652,4.47198820055977,4.44353584099231,4.4464158440156
"Tank",6.90001965506096,6.34169431545001,6.39909365799128,6.43779517570457,6.47574617201465,6.44524714867317,6.62520691703172,6.47244072064103
"Slc6a2",5.291440965742,5.12388946917257,5.21315672452116,5.28547812481981,4.86573317188875,5.09316108125315,4.9817318910083,4.91941121423108
"Cysltr2",4.94957685927339,4.82189752876486,4.96453476221837,4.72842411219252,4.79314714071361,4.91846557095049,4.86077115392354,4.8968992217415
"Ikzf2",4.92235666933895,4.81555841971566,4.83212568957206,4.7072687295631,4.76861283420995,4.7724466524219,5.03872781679098,4.72369960231765
"Slfn3",3.6545078341874,3.64836097615924,3.52060038993493,3.64095715524838,3.43297864308175,3.64938219492868,3.63975981987369,3.55840295691274
"Cemip",5.09886451999854,5.02147057728358,5.0840726436239,5.15636688376394,5.06999871685952,5.16120768233246,5.15327922382323,4.94161844252412
"Pias3",6.09551570397455,6.21154219112282,6.39563001205374,6.43813155418149,6.32118153249345,6.29868540249609,6.1877986208962,6.40879964947612
"Cd1d2",5.49597734305867,5.55531360851181,5.55474140093881,5.66634081997163,5.59411236096745,5.63678456958313,5.78759858220618,5.72525117856393
"Nlgn1",3.99426200669955,3.89429994897131,4.09758998189244,4.06930458029059,4.1963477668625,4.07370851433829,3.95906309849475,4.00559338215346
"Tnfrsf8",5.65065187288215,5.60456464457845,5.31672284971585,5.35410502145654,5.2959146243427,5.370122910597,5.35866540582028,5.44454860410126
"Mepe",5.07421203798884,5.23307221152412,5.02588370128677,5.19256820729935,5.01800828900314,4.96280718578628,5.01722519416052,4.8815288586573
"Htr3b",4.32550723387103,4.49168490034365,4.21501735222092,4.1177224669116,4.30328225658389,4.33940978906476,4.12390229513246,4.21576066793645
"Ccr4",4.98954486724193,4.87519077674177,4.98087599260708,4.94631001271015,4.8446674552115,4.94685267010439,4.9083433311039,4.88710214812683
"Spry2",5.02294666150561,4.97293511207146,5.14659700243299,4.8034384646418,4.77111116309243,4.92156222311678,4.92044173102956,4.59226608057856
"Psg18",4.44478167757316,4.09039303229406,4.03295227577957,4.23561288025059,4.23651366550291,3.97799422418412,4.29846477032095,4.07484868638746
"Adra1a",5.77350566736777,5.83446786435836,6.01536130228322,5.6682601301136,5.76207928185095,5.87169557743423,5.77773478569611,5.93996384253895
"Scn9a",3.85494585670809,3.85964798613707,3.77357073058126,3.93662474858761,3.94786454878484,3.94957396462669,3.89894538041266,3.87045458312185
"Fpr3",4.17910935665382,4.16379042184928,4.16059040660371,4.1130958605901,4.07717137520883,3.96321441549306,4.06052915298523,3.78898027427419
"Tusc3",6.16598306727202,6.46121887917144,6.45277160984892,7.14849610609536,6.72361139197534,6.80772546675643,6.95285036961879,6.75257205648709
