"","h.wt","h.wt.1","h.wt.2","h.LCAD","h.LCAD.1","h.LCAD.2","h.LCAD.3"
"Pax4",5.45794628830123,5.29749676448459,5.12836970805586,5.22576949881485,5.20829582096127,5.36720277636107,5.19288590901459
"Ces3a",5.25280040563031,5.31541341769415,4.45045088333073,4.34671781464822,4.33937501086597,4.28776689161731,4.34147687273283
"Spns2",6.92656375073874,6.7462014961609,7.21036295150195,7.14762306779161,6.86974528819872,6.72949410709486,6.69502689182942
"Snx6",7.91340328709299,7.96344298836096,7.80926567793415,7.81620405857573,7.93079936029105,7.76304959374064,7.87120436231501
"Rtbdn",6.21577448838204,6.70032693382228,6.27680259174779,6.40681225115188,6.42863084631691,6.57210779471729,6.19005448243147
"Acvrl1",6.21891772147223,6.58828642511834,6.67563438344602,6.48229934480627,6.21071965195507,6.28961087068687,6.45042277279263
"Dyx1c1",4.13299840335257,3.94957396462669,3.96613621315792,4.04930351064818,3.82874586159781,4.15702583808398,4.07400030192159
"A530016L24Rik",7.47837163552696,7.51109787738709,7.63253498761275,7.17210102757438,6.86409232308321,6.95962237802745,7.27965932776853
"Klk1b21",6.25751072113127,6.45552063534066,6.28763186337786,6.38527916656431,6.1614785921284,6.29660644145094,6.28571976178335
"Tspan33",4.78208949326037,4.94888622807427,4.72502197427318,4.77632948369265,4.79800251920783,4.82840029074654,4.99304551352455
"Cxcl17",6.05359216915467,6.09083649731135,6.34581894479453,6.03885842774267,6.09288502250463,6.14906889343985,6.0347074193661
"Pla2g16",10.7517786034913,10.8902244465344,10.7128649366745,10.3426037444013,10.3812885645351,10.350955861921,10.4733600498355
"Mt1",10.6999382988235,10.2485850889415,10.5206397168412,9.83952457095353,9.74276435398565,10.1219729414257,10.3682166220255
"Hrnr",3.47411871928547,3.30277204310175,3.74869543725026,3.409519381197,3.34011144540648,3.50528438773694,3.53126965901626
"Ces4a",5.04628988607565,5.2502354970264,4.86645275038203,4.84025862355098,5.27372832470607,4.90419056751228,5.16822053279896
"Psg-ps1",4.35925436524506,4.46653269905378,4.1028785495937,4.36985540749084,4.36468077042351,4.31987483357976,4.27020792570953
"Rho",5.4962773589973,5.60169885610498,5.48607075982999,5.58829383188289,5.50709807841646,5.62886501450196,5.56659460112802
"Lmbrd1",8.6370400242811,8.55897569968765,8.65649633480074,8.5960210217876,8.6044886630932,8.53370998127608,8.66642062207981
"C8g",6.03376193999012,6.44880103576916,6.17305525693718,5.97733975975335,5.72561454709803,5.98779962297064,5.81940838304159
"Slc1a2",5.21020313823646,5.04691924762431,5.27227310014219,5.17469591127508,5.11226183713549,5.22390802625789,5.18142755794811
"Rprd1a",9.37304690873884,9.12817635465688,9.22014040246509,9.30863864269016,9.09086205569278,9.29146200680204,9.19712797815503
"Gngt1",4.16199829818888,4.17721366890851,4.09758123877191,4.08376569980198,4.11746407662975,4.17532638656423,4.25869819518997
"Airn",6.11435182326423,6.02656018028814,6.06121542449436,5.99329475532142,6.01761775226092,5.89582773268134,6.05253273015422
"Ankrd33",4.17636586134003,4.17310184221083,4.07692664823491,4.31021693362928,4.12196063688663,4.42884687977462,4.22869495966352
"Rsrc2",8.95911592352294,9.02046283654981,8.88368821195501,9.16443973453366,9.19311723322146,8.9786642749679,9.16873041386698
"Dbr1",7.1460467419343,6.89416506895889,6.96437980125937,7.27230738767138,7.18347748269965,7.11370799929274,7.24133778354046
"Rab4b",7.3046522196964,7.22805251219604,7.3688735272217,6.95044706751803,7.17918397843765,7.38174296795943,7.27032373618697
"H2-Q4",5.77583595887924,4.36950019499874,4.76099010776781,3.98201681899236,4.43066784424498,3.93800550726637,3.75276464504601
"Slc24a1",3.62362810930421,3.67395311058448,3.54781008774504,3.76617644380369,3.65028147405401,3.70754367479714,3.6657573784168
"Folr2",7.04259071682998,7.00713437846784,7.07876010760321,7.3024163911912,7.2123522179201,7.22619492919693,7.14213810682984
